fold,seed,train_samples,val_samples,test_samples,train_start_time,train_end_time,val_start_time,val_end_time,test_start_time,test_end_time,epochs_ran,best_val_loss,last_lr,directional_threshold,selected_threshold,selected_threshold_source,learning_plot,error_plot,mf_plot,mf_params_path,mf_mean_abs_center_shift,mf_mean_abs_sigma_shift,mf_max_abs_center_shift,mf_max_abs_sigma_shift,model_path,test_score_target_corr,test_score_mean,test_score_std,test_rule_dominance,test_active_rules_95,thresholded_test_directional_accuracy,thresholded_test_coverage,thresholded_test_activated,test_total_trades,test_profit_factor,test_win_rate,test_total_return,test_annualized_return,test_max_drawdown,test_payoff_ratio,test_expectancy,test_avg_trade_return_pct,test_sharpe_ratio,test_sortino_ratio,test_calmar_ratio,test_sqn,test_trades_path,test_equity_path,train_n_samples,train_n_directional_samples,train_mae,train_rmse,train_r2,train_directional_accuracy,train_weighted_hit_rate,val_n_samples,val_n_directional_samples,val_mae,val_rmse,val_r2,val_directional_accuracy,val_weighted_hit_rate,test_n_samples,test_n_directional_samples,test_mae,test_rmse,test_r2,test_directional_accuracy,test_weighted_hit_rate,diagnostics_path
1,43,21000,3000,3000,2024-03-01 23:15:00,2025-05-22 09:00:00,2025-05-22 09:15:00,2025-07-24 21:15:00,2025-07-24 21:30:00,2025-09-24 15:00:00,41,0.7602820495764414,0.0005,0.03,0.03,directional_fallback,outputs\experiment_rr50k_4f_rr2_20260416_163115\fold_01_learning_curve.png,outputs\experiment_rr50k_4f_rr2_20260416_163115\fold_01_train_val_errors.png,outputs\experiment_rr50k_4f_rr2_20260416_163115\fold_01_mf_evolution.png,outputs\experiment_rr50k_4f_rr2_20260416_163115\fold_01_mf_params.json,0.5830180848186667,0.741082368249243,2.8345413208007812,2.7251415252685547,outputs\experiment_rr50k_4f_rr2_20260416_163115\fold_01_model.pt,0.043521564467443104,0.03870508447289467,0.0647004023194313,0.38758954405784607,4,0.5517241379310345,0.5703333333333334,1711,270,1.2379506589870857,39.25925925925926,41.804126452776806,689.8405059785264,13.995832508365428,1.9153198874894535,153.6403402046256,0.13831262843507133,5.6524645858147915,7.117625526065216,49.28899410350924,1.6231115941774426,outputs\experiment_rr50k_4f_rr2_20260416_163115\fold_01_trades.csv,outputs\experiment_rr50k_4f_rr2_20260416_163115\fold_01_equity.csv,21000,21000,0.838712162641659,0.8808230054161047,0.006163432356033782,0.5294285714285715,0.5312017683981295,3000,3000,0.8221546638559385,0.8706031628804015,-0.00927264117960136,0.5346666666666666,0.5160585239851841,3000,3000,0.8343710279799997,0.8780564321210974,-0.0031532001279528377,0.565,0.5687303512296217,outputs\experiment_rr50k_4f_rr2_20260416_163115\fold_01_diagnostics.json
2,44,24000,3000,3000,2024-03-01 23:15:00,2025-07-24 21:15:00,2025-07-24 21:30:00,2025-09-24 15:00:00,2025-09-24 16:30:00,2025-11-24 23:30:00,43,0.771970808506012,0.0005,0.03,0.05,backtest,outputs\experiment_rr50k_4f_rr2_20260416_163115\fold_02_learning_curve.png,outputs\experiment_rr50k_4f_rr2_20260416_163115\fold_02_train_val_errors.png,outputs\experiment_rr50k_4f_rr2_20260416_163115\fold_02_mf_evolution.png,outputs\experiment_rr50k_4f_rr2_20260416_163115\fold_02_mf_params.json,0.7834997481920503,0.915809743445028,3.5775070190429688,3.4758834838867188,outputs\experiment_rr50k_4f_rr2_20260416_163115\fold_02_model.pt,0.1307185920150436,0.03439748287200928,0.06095441058278084,0.37110599875450134,7,0.5656789031402034,0.7536666666666667,2261,316,1.448847473526382,43.9873417721519,112.495893918757,8827.93648098619,9.34960750717345,1.844935272044386,350.61952218324456,0.24646100117361994,11.33108829225635,15.463385891882785,944.2039651624937,3.0547238751322277,outputs\experiment_rr50k_4f_rr2_20260416_163115\fold_02_trades.csv,outputs\experiment_rr50k_4f_rr2_20260416_163115\fold_02_equity.csv,24000,24000,0.8351955320158686,0.8791406828591235,0.0055170986201902306,0.5367916666666667,0.5360739092940439,3000,3000,0.8328791840178156,0.8768847755792141,-0.00047782121840223013,0.5506666666666666,0.5588123524399089,3000,3000,0.8622276030994059,0.8989743706731641,0.012309441880807181,0.5723333333333334,0.5714697691705491,outputs\experiment_rr50k_4f_rr2_20260416_163115\fold_02_diagnostics.json
3,45,27000,3000,3000,2024-03-01 23:15:00,2025-09-24 15:00:00,2025-09-24 16:30:00,2025-11-24 23:30:00,2025-11-24 23:45:00,2026-01-29 20:45:00,68,0.8042900611956915,0.0005,0.05,0.07,backtest,outputs\experiment_rr50k_4f_rr2_20260416_163115\fold_03_learning_curve.png,outputs\experiment_rr50k_4f_rr2_20260416_163115\fold_03_train_val_errors.png,outputs\experiment_rr50k_4f_rr2_20260416_163115\fold_03_mf_evolution.png,outputs\experiment_rr50k_4f_rr2_20260416_163115\fold_03_mf_params.json,1.923326313495636,2.318688428876075,9.203544616699219,8.496549606323242,outputs\experiment_rr50k_4f_rr2_20260416_163115\fold_03_model.pt,0.05520515375827399,0.03572605177760124,0.09289585053920746,0.4199150800704956,5,0.5223367697594502,0.485,1455,217,1.2158823227503732,38.70967741935484,31.35257758729681,353.62158858569603,10.62090830030842,1.925147011021424,144.48192436542288,0.13563113080948422,4.974106594523672,5.877443708995516,33.294853753273365,1.4140749240596577,outputs\experiment_rr50k_4f_rr2_20260416_163115\fold_03_trades.csv,outputs\experiment_rr50k_4f_rr2_20260416_163115\fold_03_equity.csv,27000,27000,0.8326243226548549,0.8777566173612239,0.007905490252469338,0.5428518518518518,0.5451540106382626,3000,3000,0.8589867200228618,0.8965649561557514,0.017596726942447627,0.5696666666666667,0.5748530086952688,3000,3000,0.8531143536818223,0.8948944663394427,-0.0005173643475593348,0.5453333333333333,0.5470145379039196,outputs\experiment_rr50k_4f_rr2_20260416_163115\fold_03_diagnostics.json
4,46,30000,3000,3000,2024-03-01 23:15:00,2025-11-24 23:30:00,2025-11-24 23:45:00,2026-01-29 20:45:00,2026-01-29 21:00:00,2026-04-02 11:45:00,48,0.8020231376091639,0.0005,0.03,0.15,backtest,outputs\experiment_rr50k_4f_rr2_20260416_163115\fold_04_learning_curve.png,outputs\experiment_rr50k_4f_rr2_20260416_163115\fold_04_train_val_errors.png,outputs\experiment_rr50k_4f_rr2_20260416_163115\fold_04_mf_evolution.png,outputs\experiment_rr50k_4f_rr2_20260416_163115\fold_04_mf_params.json,1.1685699170286006,1.4377124472097917,5.629676818847656,5.201469421386719,outputs\experiment_rr50k_4f_rr2_20260416_163115\fold_04_model.pt,0.022472466825822372,0.01755092479288578,0.07805585861206055,0.4290418028831482,6,0.3870967741935484,0.031,93,40,0.712771621320615,32.5,-7.438108277663283,-36.292745155605566,10.277349883619,1.4803718288966616,-185.95270694158256,-0.18530169163955157,-3.20258727630257,-1.7233572566419328,-3.5313330349346512,-0.9268033141364345,outputs\experiment_rr50k_4f_rr2_20260416_163115\fold_04_trades.csv,outputs\experiment_rr50k_4f_rr2_20260416_163115\fold_04_equity.csv,30000,30000,0.8356038866353687,0.8797432987246979,0.008831463131044992,0.5454666666666667,0.5475079977975273,3000,3000,0.8534441100079955,0.8942308323857114,0.0009660085501453919,0.5453333333333333,0.5475106917583142,3000,3000,0.8464553493342537,0.889514833412575,-0.011253150223460295,0.5043333333333333,0.502285747459704,outputs\experiment_rr50k_4f_rr2_20260416_163115\fold_04_diagnostics.json
