fold,seed,train_samples,val_samples,test_samples,train_start_time,train_end_time,val_start_time,val_end_time,test_start_time,test_end_time,epochs_ran,best_val_loss,last_lr,directional_threshold,selected_threshold,selected_threshold_source,learning_plot,error_plot,mf_plot,mf_params_path,mf_mean_abs_center_shift,mf_mean_abs_sigma_shift,mf_max_abs_center_shift,mf_max_abs_sigma_shift,model_path,test_score_target_corr,test_score_mean,test_score_std,test_rule_dominance,test_active_rules_95,thresholded_test_directional_accuracy,thresholded_test_coverage,thresholded_test_activated,test_total_trades,test_profit_factor,test_win_rate,test_total_return,test_annualized_return,test_max_drawdown,test_payoff_ratio,test_expectancy,test_avg_trade_return_pct,test_sharpe_ratio,test_sortino_ratio,test_calmar_ratio,test_sqn,test_trades_path,test_equity_path,train_n_samples,train_n_directional_samples,train_mae,train_rmse,train_r2,train_directional_accuracy,train_weighted_hit_rate,val_n_samples,val_n_directional_samples,val_mae,val_rmse,val_r2,val_directional_accuracy,val_weighted_hit_rate,test_n_samples,test_n_directional_samples,test_mae,test_rmse,test_r2,test_directional_accuracy,test_weighted_hit_rate,diagnostics_path
1,43,24000,4000,4000,2024-03-01 23:00:00,2025-05-27 14:00:00,2025-05-27 14:15:00,2025-08-08 20:15:00,2025-08-08 20:45:00,2025-10-22 14:30:00,62,0.9065864719450474,0.000125,0.07,0.1,backtest,outputs\experiment_rr50k_20260416_161702\fold_01_learning_curve.png,outputs\experiment_rr50k_20260416_161702\fold_01_train_val_errors.png,outputs\experiment_rr50k_20260416_161702\fold_01_mf_evolution.png,outputs\experiment_rr50k_20260416_161702\fold_01_mf_params.json,1.2126810330558906,1.5772708315740933,6.060478210449219,5.895811080932617,outputs\experiment_rr50k_20260416_161702\fold_01_model.pt,0.020711380835238134,0.04336103796958923,0.07059159129858017,0.2942926585674286,4,0.5459119496855346,0.3975,1590,356,1.0978280406648895,52.52808988764045,16.372208233466356,109.79896623641477,14.236282763688243,0.992154753328162,45.9893489704109,0.04741248929882027,2.737225988209616,2.7470382285332478,7.712614877000993,0.9106456776350914,outputs\experiment_rr50k_20260416_161702\fold_01_trades.csv,outputs\experiment_rr50k_20260416_161702\fold_01_equity.csv,24000,24000,0.9233671407275506,0.9447106574530726,0.007356554133998938,0.5364166666666667,0.5386690518022313,4000,4000,0.9290072065753241,0.9509708654228726,-0.0050596299592091665,0.504,0.507941098049665,4000,4000,0.9196205046792993,0.9425583213876454,-0.0028328145779681346,0.51225,0.5187707436792185,outputs\experiment_rr50k_20260416_161702\fold_01_diagnostics.json
2,44,28000,4000,4000,2024-03-01 23:00:00,2025-08-08 20:15:00,2025-08-08 20:45:00,2025-10-22 14:30:00,2025-10-22 14:45:00,2026-01-07 16:45:00,29,0.8911600932478905,0.0005,0.03,0.03,directional_fallback,outputs\experiment_rr50k_20260416_161702\fold_02_learning_curve.png,outputs\experiment_rr50k_20260416_161702\fold_02_train_val_errors.png,outputs\experiment_rr50k_20260416_161702\fold_02_mf_evolution.png,outputs\experiment_rr50k_20260416_161702\fold_02_mf_params.json,0.277061944658106,0.3186903379180215,1.11712646484375,1.0926322937011719,outputs\experiment_rr50k_20260416_161702\fold_02_model.pt,0.08370957250846028,0.0252398569136858,0.05786365643143654,0.48253917694091797,3,0.5603889457523029,0.4885,1954,418,1.1100717322764007,52.87081339712919,26.680470452777342,206.67421898939384,14.75909423407315,0.9895209559205924,63.82887668128515,0.06144823294190257,3.75575265289099,3.834215568828279,14.003177682290385,1.2737042087753252,outputs\experiment_rr50k_20260416_161702\fold_02_trades.csv,outputs\experiment_rr50k_20260416_161702\fold_02_equity.csv,28000,28000,0.9271551950866864,0.9472635985410969,0.0023361943013079367,0.5178571428571429,0.5179409045909388,4000,4000,0.9201910740220856,0.9418089766391493,-0.001238921078737798,0.51925,0.5219752446070275,4000,4000,0.934087113576225,0.9523250755800997,0.006470757511960912,0.5245,0.5296421553024583,outputs\experiment_rr50k_20260416_161702\fold_02_diagnostics.json
3,45,32000,4000,4000,2024-03-01 23:00:00,2025-10-22 14:30:00,2025-10-22 14:45:00,2026-01-07 16:45:00,2026-01-07 17:00:00,2026-03-23 02:45:00,28,0.9043347910046577,0.0005,0.07,0.12,backtest,outputs\experiment_rr50k_20260416_161702\fold_03_learning_curve.png,outputs\experiment_rr50k_20260416_161702\fold_03_train_val_errors.png,outputs\experiment_rr50k_20260416_161702\fold_03_mf_evolution.png,outputs\experiment_rr50k_20260416_161702\fold_03_mf_params.json,0.2633694701574065,0.2887504920363426,1.0138702392578125,0.9976310729980469,outputs\experiment_rr50k_20260416_161702\fold_03_model.pt,0.04578512102286491,0.025188101455569267,0.06816316395998001,0.505366325378418,4,0.5738831615120275,0.07275,291,100,1.10407047020071,51.0,4.601884510346383,24.714442334452723,8.624260209984245,1.0607735890163685,46.018845103464336,0.049706085389628195,1.543232566249557,0.7895130448278797,2.865688387491021,0.5098881361432268,outputs\experiment_rr50k_20260416_161702\fold_03_trades.csv,outputs\experiment_rr50k_20260416_161702\fold_03_equity.csv,32000,32000,0.9253141592222001,0.9465230410611691,0.0021362960805131337,0.52740625,0.5281998912166358,4000,4000,0.9300520491677889,0.9491863677617394,0.013008985299718834,0.547,0.5500297931584854,4000,4000,0.9352164869430272,0.9542883065351898,-0.006038245080494331,0.50425,0.5031999410063597,outputs\experiment_rr50k_20260416_161702\fold_03_diagnostics.json
