configuracao,short,descricao,barras,target,horizon,rr,stop_mode,min_activation,folds,mae,rmse,r2,da_bruta_pct,da_filtrada_pct,coverage_pct,pf,win_rate_pct,payoff,retorno_pct,retorno_anualizado_pct,max_dd_pct,trades,pf_gt_1,retorno_pos_folds,annual_ge_12_folds,rule_dominance,active_rules_95,mf_center_shift,mf_sigma_shift,score_target_corr,sharpe,sortino,sqn
Iteracao 3 ATR h10,iter3_atr_h10,"20k barras, horizonte 10, target por barreira ATR",20000,atr_barrier,10,n/d,atr,0.1,4.0,0.9166435686122558,0.9255745177573851,-0.005963934388611591,50.18749999999999,56.634516170444215,7.9750000000000005,1.1305305934731544,52.51925245052699,0.9956703742208766,6.866007999098441,,7.030006531035005,76.0,2.0,2.0,,0.5741365998983383,3.0,0.31810163384811446,0.34876670713790436,0.012725483840120877,2.5643374354892385,1.7247260483724984,0.5759774421585799
RR 1:1 50k,rr1_50k,"50k barras, stop estrutural, alvo 1R",50000,rr,40,1.0,structure,0.0,4.0,0.9232802217292186,0.946353576987552,0.0001517088105299491,52.65,55.721433204264144,23.708333333333332,1.0263431581171427,50.40786320262303,1.0014947331412705,6.7492098279462525,146.04373949846837,10.98206480302329,183.75,2.0,2.0,1.0,0.3485194407403469,5.0,0.45318979558280925,0.5520419320091605,0.04603138504463418,1.1549633241787853,1.533508380748493,0.31395501073217263
RR 1:2 50k,rr2_50k,"50k barras, stop estrutural, alvo 2R",50000,rr,40,2.0,structure,0.0,4.0,0.8372846216782467,0.8832265279503815,-0.002663589421392748,53.69166666666667,55.24860062340603,36.391666666666666,1.3924794655074393,42.04388561012763,1.9186099727885382,58.080914564566214,1952.2649691808158,13.773332148519788,198.0,4.0,4.0,4.0,0.41526034474372864,3.75,0.3858783130364662,0.45486439891498204,0.043878307188209106,7.8703697386284475,8.836932770323468,2.219889234949582
