entry_date,exit_date,type,entry_price,exit_price,pnl,return_pct,exit_reason,bars_held
2026-01-08 18:00:00,2026-01-09 08:30:00,SHORT,25478.0,25540.25,-400.35006437877234,-0.40035006437877235,TIME,40
2026-01-09 13:30:00,2026-01-09 14:30:00,LONG,25612.25,25593.20798819655,-995.9964993562123,-1.0,STOP,1
2026-01-09 15:45:00,2026-01-09 16:00:00,LONG,25649.5,25626.44365105346,-986.0365343626503,-1.0000000000000002,STOP,1
2026-01-09 16:00:00,2026-01-09 16:30:00,LONG,25614.5,25588.20481883536,-976.1761690190237,-1.0,STOP,1
2026-01-12 17:15:00,2026-01-12 17:30:00,LONG,25777.45,25740.147791659678,-966.4144073288335,-1.0,STOP,1
2026-01-12 17:30:00,2026-01-12 20:15:00,LONG,25743.7,25819.832672632027,1913.5005265110904,2.0,TARGET,4
2026-01-13 17:00:00,2026-01-13 17:30:00,LONG,25771.35,25728.087710746022,-975.8852685206562,-1.0,STOP,1
2026-01-13 17:30:00,2026-01-13 18:30:00,LONG,25689.85,25734.928973305323,1932.2528316708992,2.0,TARGET,1
2026-01-13 18:30:00,2026-01-13 22:30:00,SHORT,25827.6,25667.366292519437,1970.8978883043171,2.0,TARGET,15
2026-01-16 15:00:00,2026-01-16 16:15:00,LONG,25679.35,25711.563360815533,2010.3158460704035,2.0,TARGET,4
2026-01-16 17:00:00,2026-01-16 17:15:00,LONG,25582.35,25569.86196498154,-1025.2610814959057,-1.0,STOP,1
2026-01-16 18:15:00,2026-01-19 02:30:00,SHORT,25579.2,25263.653367342824,2030.0169413618933,2.0,TARGET,23
2026-01-19 02:30:00,2026-01-19 09:30:00,SHORT,25307.75,25214.10394385182,2070.617280189131,2.0,TARGET,27
2026-01-19 10:15:00,2026-01-19 11:15:00,SHORT,25252.5,25175.994479141395,2112.029625792914,2.0,TARGET,4
2026-01-19 16:45:00,2026-01-19 18:15:00,SHORT,25186.75,25220.85645011774,-1077.135109154386,-1.0,STOP,5
2026-01-20 08:30:00,2026-01-20 10:00:00,SHORT,25165.5,25105.36999082,2132.7275161256844,2.0,TARGET,4
2026-01-20 10:00:00,2026-01-20 10:30:00,SHORT,25132.25,25062.78775478594,2175.382066448198,2.0,TARGET,2
2026-01-20 10:30:00,2026-01-20 11:45:00,SHORT,25074.25,24999.216227340934,2218.889707777162,2.0,TARGET,3
2026-01-20 11:45:00,2026-01-20 12:15:00,SHORT,25006.25,25046.029320513684,-1131.6337509663529,-1.0,STOP,2
2026-01-20 12:15:00,2026-01-20 14:00:00,SHORT,25067.75,25109.178342687817,-1120.3174134566893,-1.0,STOP,7
2026-01-21 02:30:00,2026-01-21 02:45:00,SHORT,25050.8,25061.48403131191,-1109.1142393221223,-1.0,STOP,1
2026-01-21 11:30:00,2026-01-21 14:00:00,SHORT,25052.35,24939.943790755075,2196.0461938578023,2.0,TARGET,5
2026-01-21 14:00:00,2026-01-21 15:00:00,SHORT,24936.35,24969.2066779753,-1119.9835588674791,-1.0,STOP,4
2026-01-21 15:00:00,2026-01-21 17:30:00,SHORT,24973.85,25109.08100053318,-1108.7837232788045,-1.0,STOP,5
2026-01-21 17:30:00,2026-01-21 19:00:00,LONG,25328.95,25269.184075465724,-1097.6958860460163,-0.9999999999999999,STOP,3
2026-01-22 10:00:00,2026-01-22 11:30:00,LONG,25498.55,25562.955133543586,2173.4378543711127,2.0000000000000004,TARGET,1
2026-01-22 11:30:00,2026-01-22 13:15:00,LONG,25580.05,25546.915977184093,-1108.4533057292674,-1.0,STOP,2
2026-01-23 10:30:00,2026-01-23 11:45:00,LONG,25496.6,25459.238993126797,-1097.3687726719745,-0.9999999999999999,STOP,3
2026-01-23 11:45:00,2026-01-23 13:00:00,LONG,25440.1,25477.883885806405,2172.79016989051,2.0,TARGET,5
2026-01-23 23:45:00,2026-01-26 01:00:00,LONG,25557.35,25519.636599566118,-1108.12298664416,-1.0,STOP,1
2026-01-26 01:00:00,2026-01-26 10:15:00,LONG,25387.05,25618.073744326004,2194.0835135554366,2.0,TARGET,33
2026-01-26 11:45:00,2026-01-26 14:15:00,LONG,25507.55,25581.67865037345,2237.9651838265454,2.0,TARGET,9
2026-01-26 14:15:00,2026-01-26 19:00:00,LONG,25579.8,25798.07043920695,2282.724487503076,2.0,TARGET,13
2026-01-26 19:00:00,2026-01-26 20:15:00,LONG,25804.55,25766.829231187563,-1164.1894886265688,-1.0,STOP,3
2026-01-26 22:45:00,2026-01-27 02:30:00,LONG,25733.8,25793.380559240937,2305.0951874806065,2.0,TARGET,11
2026-01-27 04:15:00,2026-01-27 06:15:00,LONG,25841.1,25879.465082018338,2351.1970912302186,2.0,TARGET,7
2026-01-28 08:15:00,2026-01-28 08:30:00,LONG,26194.25,26229.83669843957,2398.221033054823,2.0,TARGET,1
2026-01-28 08:30:00,2026-01-28 09:00:00,LONG,26208.5,26188.602604295917,-1223.0927268579596,-1.0,STOP,2
2026-01-28 09:00:00,2026-01-28 09:30:00,LONG,26213.5,26192.307347581682,-1210.86179958938,-1.0,STOP,2
2026-01-28 09:30:00,2026-01-28 10:15:00,LONG,26210.75,26188.814753782164,-1198.7531815934863,-1.0,STOP,3
2026-01-28 10:15:00,2026-01-28 10:45:00,LONG,26194.25,26170.785719409407,-1186.7656497775513,-1.0,STOP,2
2026-01-28 10:45:00,2026-01-28 17:30:00,LONG,26171.5,26084.323287392905,-1174.8979932797758,-1.0,STOP,27
2026-01-28 21:15:00,2026-01-28 21:45:00,LONG,26013.0,26057.423201458383,2326.298026693956,2.0,TARGET,1
2026-01-28 22:30:00,2026-01-28 23:00:00,LONG,26048.75,25990.62029259192,-1186.4119936139175,-0.9999999999999999,STOP,1
2026-01-29 02:00:00,2026-01-29 13:45:00,LONG,26039.35,26091.85,401.63021993754705,0.34194452941279513,TIME,40
2026-01-30 18:45:00,2026-02-02 01:15:00,SHORT,25654.4,25288.037894147135,2357.128351754308,2.0,TARGET,20
2026-02-02 01:30:00,2026-02-02 14:15:00,SHORT,25449.8,25414.55,183.30951004000377,0.152486567638812,TIME,40
2026-02-03 16:45:00,2026-02-03 17:45:00,LONG,25539.5,25489.99180352705,-1203.9685544950971,-1.0,STOP,1
2026-02-04 11:00:00,2026-02-04 11:15:00,LONG,25322.45,25307.921424450553,-1191.9288689501461,-1.0,STOP,1
2026-02-04 11:15:00,2026-02-04 18:00:00,SHORT,25292.7,25025.988002551032,2360.0191605212895,2.0,TARGET,21
2026-02-05 04:00:00,2026-02-05 16:30:00,SHORT,24926.9,24602.96787515284,2407.2195437317155,2.0,TARGET,37
2026-02-09 01:15:00,2026-02-09 02:15:00,LONG,25163.0,25270.074918250713,2455.3639346063496,2.0,TARGET,2
2026-02-09 02:15:00,2026-02-09 03:00:00,LONG,25222.5,25169.563017490647,-1252.2356066492382,-1.0,STOP,3
2026-02-09 05:45:00,2026-02-09 09:15:00,LONG,25117.75,25077.391832381214,-1239.7132505827458,-1.0,STOP,10
2026-02-09 10:45:00,2026-02-09 11:30:00,LONG,25090.75,25046.69479709039,-1227.3161180769184,-1.0,STOP,3
2026-02-09 11:30:00,2026-02-09 12:30:00,LONG,25059.5,25040.210534514426,-1215.0429568961492,-1.0,STOP,1
2026-02-09 19:00:00,2026-02-09 22:30:00,LONG,25334.5,25279.872975052695,-1202.8925273271875,-1.0,STOP,7
2026-02-10 07:15:00,2026-02-10 11:15:00,LONG,25243.45,25318.010496157065,2381.7272041078313,2.0,TARGET,10
2026-02-10 20:15:00,2026-02-10 22:00:00,LONG,25223.2,25175.391454637553,-1214.680874094994,-1.0,STOP,7
2026-02-10 22:00:00,2026-02-10 22:45:00,LONG,25179.45,25135.508800650237,-1202.534065354044,-1.0,STOP,3
2026-02-10 22:45:00,2026-02-11 01:00:00,LONG,25142.7,25179.639078533943,2381.0174494010075,2.0000000000000004,TARGET,4
2026-02-11 15:45:00,2026-02-11 16:30:00,LONG,25374.87,25334.245228013555,-1214.3188991945137,-1.0,STOP,1
2026-02-11 16:45:00,2026-02-11 17:00:00,LONG,25236.0,25093.97849061237,-1202.1757102025686,-1.0,STOP,1
2026-02-11 17:00:00,2026-02-11 17:15:00,LONG,25105.37,25074.554134140057,-1190.1539531005428,-1.0,STOP,1
2026-02-11 17:45:00,2026-02-12 04:45:00,SHORT,25177.87,25227.0,-468.74653189738206,-0.3978320150241032,TIME,40
2026-02-12 16:30:00,2026-02-12 17:00:00,LONG,25241.75,25208.995603694915,-1173.5649482505635,-1.0,STOP,1
2026-02-12 17:15:00,2026-02-12 18:30:00,SHORT,25167.25,24862.785985470764,2323.6585975361154,1.9999999999999998,TARGET,4
2026-02-12 18:30:00,2026-02-12 22:45:00,SHORT,24809.75,24669.77310471068,2370.1317694868376,2.0,TARGET,12
2026-02-12 22:45:00,2026-02-12 23:30:00,SHORT,24694.5,24764.365433020273,-1208.7672024382873,-1.0,STOP,2
2026-02-13 10:45:00,2026-02-13 15:00:00,SHORT,24708.5,24591.807954984943,2393.3590608278087,2.0,TARGET,8
2026-02-13 15:30:00,2026-02-13 16:30:00,SHORT,24708.25,24609.331170571684,2441.226242044365,2.0,TARGET,3
2026-02-13 16:30:00,2026-02-13 16:45:00,SHORT,24648.75,24758.406947135336,-1245.025383442626,-1.0,STOP,1
2026-02-13 16:45:00,2026-02-13 17:00:00,SHORT,24631.25,24758.73948662567,-1232.5751296081996,-1.0,STOP,1
2026-02-13 17:00:00,2026-02-13 17:15:00,SHORT,24692.5,24758.948273295264,-1220.2493783121176,-1.0,STOP,1
2026-02-17 04:30:00,2026-02-17 20:30:00,SHORT,24616.65,24786.039927572674,-1208.0468845289965,-1.0,STOP,37
2026-02-17 21:30:00,2026-02-17 22:15:00,LONG,24812.55,24732.58089618229,-1195.9664156837064,-1.0,STOP,1
2026-02-18 15:30:00,2026-02-18 16:15:00,LONG,24795.95,24745.646341612828,-1184.0067515268693,-1.0,STOP,3
2026-02-18 18:30:00,2026-02-18 20:15:00,LONG,25048.2,24998.54813558968,-1172.1666840116006,-1.0,STOP,6
2026-02-18 21:30:00,2026-02-19 14:45:00,LONG,24862.5,24809.65,-365.4227216646169,-0.31489878129281207,TIME,40
2026-02-19 15:00:00,2026-02-19 15:30:00,LONG,24789.65,24752.860541980604,-1156.7907899548386,-1.0,STOP,1
