fold,seed,train_samples,val_samples,test_samples,train_start_time,train_end_time,val_start_time,val_end_time,test_start_time,test_end_time,epochs_ran,best_val_loss,last_lr,directional_threshold,selected_threshold,selected_threshold_source,learning_plot,error_plot,model_path,test_score_target_corr,test_score_mean,test_score_std,test_rule_dominance,test_active_rules_95,thresholded_test_directional_accuracy,thresholded_test_coverage,thresholded_test_activated,test_total_trades,test_profit_factor,test_win_rate,test_total_return,test_max_drawdown,test_sharpe_ratio,test_sortino_ratio,test_calmar_ratio,test_sqn,test_trades_path,test_equity_path,train_n_samples,train_n_directional_samples,train_mae,train_rmse,train_r2,train_directional_accuracy,train_weighted_hit_rate,val_n_samples,val_n_directional_samples,val_mae,val_rmse,val_r2,val_directional_accuracy,val_weighted_hit_rate,test_n_samples,test_n_directional_samples,test_mae,test_rmse,test_r2,test_directional_accuracy,test_weighted_hit_rate,diagnostics_path
1,43,8000,2000,2000,2025-06-11 01:15:00,2025-10-15 16:30:00,2025-10-15 16:45:00,2025-11-17 04:30:00,2025-11-17 05:15:00,2025-12-19 04:15:00,25,0.87595334649086,0.0005,0.05,0.05,directional_fallback,outputs\experiment_20260416_110110\fold_01_learning_curve.png,outputs\experiment_20260416_110110\fold_01_train_val_errors.png,outputs\experiment_20260416_110110\fold_01_model.pt,0.04794511792869421,0.044987596571445465,0.08533885329961777,0.2443348467350006,6,0.5167785234899329,0.6705,1341,431,0.9986273391457124,50.11600928074246,-0.13058714636553487,17.544105308566092,0.4120676951537912,0.5345196142642464,-0.08449287405448203,0.08803488229094594,outputs\experiment_20260416_110110\fold_01_trades.csv,outputs\experiment_20260416_110110\fold_01_equity.csv,8000,8000,0.9208708656354783,0.9307558919438732,0.009126825748175915,0.54025,0.5387118397872761,2000,2000,0.92791347075861,0.935927285073165,0.007548476422048034,0.5375,0.5349232726851436,2000,2000,0.9304554616479399,0.9408418120240019,-0.0066030088534638764,0.504,0.5026010071508927,outputs\experiment_20260416_110110\fold_01_diagnostics.json
2,44,10000,2000,2000,2025-06-11 01:15:00,2025-11-17 04:30:00,2025-11-17 05:15:00,2025-12-19 04:15:00,2025-12-19 04:30:00,2026-01-23 04:30:00,21,0.8822187706828117,0.0005,0.05,0.1,backtest,outputs\experiment_20260416_110110\fold_02_learning_curve.png,outputs\experiment_20260416_110110\fold_02_train_val_errors.png,outputs\experiment_20260416_110110\fold_02_model.pt,-0.03770114701741978,0.005745765753090382,0.08674359321594238,0.4795038104057312,2,0.551440329218107,0.1215,243,105,0.9557733207370374,49.523809523809526,-2.3450217439001717,10.820708721682411,-0.7381469960853693,-0.48525494609913916,-2.0271778930361712,-0.1808198451221983,outputs\experiment_20260416_110110\fold_02_trades.csv,outputs\experiment_20260416_110110\fold_02_equity.csv,10000,10000,0.9228725820461572,0.9319561313576102,0.009417162915355437,0.5438,0.5428301176931618,2000,2000,0.9295419166479841,0.939556467717868,-0.0038545177970348288,0.518,0.5175161672593145,2000,2000,0.9401301000152598,0.9474655304919009,-0.016251765826815978,0.466,0.4667776061722909,outputs\experiment_20260416_110110\fold_02_diagnostics.json
3,45,12000,2000,2000,2025-06-11 01:15:00,2025-12-19 04:15:00,2025-12-19 04:30:00,2026-01-23 04:30:00,2026-01-23 04:45:00,2026-02-24 16:30:00,16,0.8927041366696358,0.0005,0.1,0.1,directional_fallback,outputs\experiment_20260416_110110\fold_03_learning_curve.png,outputs\experiment_20260416_110110\fold_03_train_val_errors.png,outputs\experiment_20260416_110110\fold_03_model.pt,-0.004615767306083241,-0.002318666549399495,0.10130005329847336,0.43672919273376465,4,0.5059101654846335,0.2115,423,163,0.7893811143147624,44.171779141104295,-18.085275098803802,23.505067731942688,-6.483067637227239,-5.261574536801189,-3.8027036319250396,-1.5057219236593675,outputs\experiment_20260416_110110\fold_03_trades.csv,outputs\experiment_20260416_110110\fold_03_equity.csv,12000,12000,0.9282878356590105,0.9383271099769684,-0.00296750158798309,0.5246666666666666,0.5242610709598197,2000,2000,0.9374926593101527,0.9449219518318809,-0.010802603886436613,0.467,0.4682341268290248,2000,2000,0.9361066133652712,0.9452036156904602,-0.013773648858739884,0.497,0.4994335665213341,outputs\experiment_20260416_110110\fold_03_diagnostics.json
4,46,14000,2000,2000,2025-06-11 01:15:00,2026-01-23 04:30:00,2026-01-23 04:45:00,2026-02-24 16:30:00,2026-02-24 16:45:00,2026-03-27 05:45:00,17,0.8897008895874023,0.0005,0.1,0.03,backtest,outputs\experiment_20260416_110110\fold_04_learning_curve.png,outputs\experiment_20260416_110110\fold_04_train_val_errors.png,outputs\experiment_20260416_110110\fold_04_model.pt,0.06024586801516859,-0.01028450857847929,0.05053894966840744,0.5178478360176086,3,0.5296934865900383,0.522,1044,384,0.9047332158899192,47.65625,-17.90303551150723,30.18173781008689,-3.836371289705755,-4.878256267391877,-3.0001587503241565,-0.9095551997734153,outputs\experiment_20260416_110110\fold_04_trades.csv,outputs\experiment_20260416_110110\fold_04_equity.csv,14000,14000,0.9301934908718748,0.9362934232490698,0.002516906025510357,0.5188571428571429,0.5180150775701161,2000,2000,0.9374508232318667,0.9426235189456882,-0.008246661582816284,0.4845,0.48758190870521023,2000,2000,0.9335300284689292,0.9388998142895589,0.0007054872317378003,0.537,0.5385805178903853,outputs\experiment_20260416_110110\fold_04_diagnostics.json
