fold,seed,train_samples,val_samples,test_samples,train_start_time,train_end_time,val_start_time,val_end_time,test_start_time,test_end_time,epochs_ran,best_val_loss,last_lr,directional_threshold,selected_threshold,selected_threshold_source,learning_plot,error_plot,mf_plot,mf_params_path,mf_mean_abs_center_shift,mf_mean_abs_sigma_shift,mf_max_abs_center_shift,mf_max_abs_sigma_shift,model_path,test_score_target_corr,test_score_mean,test_score_std,test_rule_dominance,test_active_rules_95,thresholded_test_directional_accuracy,thresholded_test_coverage,thresholded_test_activated,test_total_trades,test_profit_factor,test_win_rate,test_total_return,test_annualized_return,test_max_drawdown,test_payoff_ratio,test_expectancy,test_avg_trade_return_pct,test_sharpe_ratio,test_sortino_ratio,test_calmar_ratio,test_sqn,test_trades_path,test_equity_path,train_n_samples,train_n_directional_samples,train_mae,train_rmse,train_r2,train_directional_accuracy,train_weighted_hit_rate,val_n_samples,val_n_directional_samples,val_mae,val_rmse,val_r2,val_directional_accuracy,val_weighted_hit_rate,test_n_samples,test_n_directional_samples,test_mae,test_rmse,test_r2,test_directional_accuracy,test_weighted_hit_rate,diagnostics_path
1,43,21000,3000,3000,2024-03-01 23:15:00,2025-03-27 22:45:00,2025-03-27 23:00:00,2025-05-22 22:00:00,2025-05-22 22:15:00,2025-07-18 12:30:00,28,0.9024672458569208,0.0005,0.1,0.15,backtest,outputs\experiment_rr50k_full_rr1_20260416_163836\fold_01_learning_curve.png,outputs\experiment_rr50k_full_rr1_20260416_163836\fold_01_train_val_errors.png,outputs\experiment_rr50k_full_rr1_20260416_163836\fold_01_mf_evolution.png,outputs\experiment_rr50k_full_rr1_20260416_163836\fold_01_mf_params.json,0.1832620513371446,0.20157366449182684,0.6754150390625,0.6542930603027344,outputs\experiment_rr50k_full_rr1_20260416_163836\fold_01_model.pt,0.010331813283546256,0.032920535653829575,0.08462774753570557,0.44530370831489563,4,0.5703971119133574,0.09233333333333334,277,110,0.9318185610284786,47.27272727272727,-3.722166653612614,-21.71463905248111,11.873714169785131,1.0393360873009954,-33.83787866920491,-0.02973227696279766,-1.0701994997220947,-0.6472763395161958,-1.8287992065480267,-0.3186086769228211,outputs\experiment_rr50k_full_rr1_20260416_163836\fold_01_trades.csv,outputs\experiment_rr50k_full_rr1_20260416_163836\fold_01_equity.csv,21000,21000,0.9195340311110044,0.9444096029051631,-0.0019207582654623412,0.5171428571428571,0.5169184400135868,3000,3000,0.9275942299706658,0.9492209761691207,0.0035385920595014664,0.521,0.5291690162058724,3000,3000,0.923787315060746,0.9495466902219867,-0.00631807863416034,0.5023333333333333,0.5012244801275574,outputs\experiment_rr50k_full_rr1_20260416_163836\fold_01_diagnostics.json
2,44,24000,3000,3000,2024-03-01 23:15:00,2025-05-22 22:00:00,2025-05-22 22:15:00,2025-07-18 12:30:00,2025-07-18 12:45:00,2025-09-12 02:30:00,34,0.9032394041617712,0.0005,0.03,0.1,backtest,outputs\experiment_rr50k_full_rr1_20260416_163836\fold_02_learning_curve.png,outputs\experiment_rr50k_full_rr1_20260416_163836\fold_02_train_val_errors.png,outputs\experiment_rr50k_full_rr1_20260416_163836\fold_02_mf_evolution.png,outputs\experiment_rr50k_full_rr1_20260416_163836\fold_02_mf_params.json,0.43731865964152594,0.5106587999246337,1.8969573974609375,1.8473358154296875,outputs\experiment_rr50k_full_rr1_20260416_163836\fold_02_model.pt,0.04749306143856823,0.034386325627565384,0.052851028740406036,0.3831348121166229,4,0.5550239234449761,0.06966666666666667,209,108,0.908679771392056,48.148148148148145,-4.958591690503948,-28.41311216930238,9.470596082392245,0.9785782153452911,-45.91288602318529,-0.042234705859278826,-1.5136329822437813,-0.8001525119456022,-3.000139792903649,-0.44382636042196344,outputs\experiment_rr50k_full_rr1_20260416_163836\fold_02_trades.csv,outputs\experiment_rr50k_full_rr1_20260416_163836\fold_02_equity.csv,24000,24000,0.9199497688782419,0.9427527539632604,0.0035556861439844933,0.522875,0.5235159802288508,3000,3000,0.9256831807259587,0.9486710212986503,-0.0044628878216759205,0.5133333333333333,0.5098340194172285,3000,3000,0.9101090387723525,0.9347594579661472,0.0015084225065600254,0.5393333333333333,0.5442085471223894,outputs\experiment_rr50k_full_rr1_20260416_163836\fold_02_diagnostics.json
3,45,27000,3000,3000,2024-03-01 23:15:00,2025-07-18 12:30:00,2025-07-18 12:45:00,2025-09-12 02:30:00,2025-09-12 02:45:00,2025-11-05 12:15:00,39,0.875032881895701,0.0005,0.03,0.07,backtest,outputs\experiment_rr50k_full_rr1_20260416_163836\fold_03_learning_curve.png,outputs\experiment_rr50k_full_rr1_20260416_163836\fold_03_train_val_errors.png,outputs\experiment_rr50k_full_rr1_20260416_163836\fold_03_mf_evolution.png,outputs\experiment_rr50k_full_rr1_20260416_163836\fold_03_mf_params.json,0.6534922922199423,0.8209693922915242,3.1903152465820312,3.1201438903808594,outputs\experiment_rr50k_full_rr1_20260416_163836\fold_03_model.pt,0.06528379055895968,0.0367741733789444,0.060132741928100586,0.24096496403217316,6,0.5934959349593496,0.451,1353,288,1.2532326155865225,55.55555555555556,34.33092482826993,625.5367384413678,9.348978843130427,1.0025860924692178,119.20460009815962,0.10734099526030419,6.6423924579661415,7.03714235509589,66.90963247831162,1.8542784765080198,outputs\experiment_rr50k_full_rr1_20260416_163836\fold_03_trades.csv,outputs\experiment_rr50k_full_rr1_20260416_163836\fold_03_equity.csv,27000,27000,0.9191276236859366,0.9423794985250323,0.004895523571106564,0.5351481481481482,0.5375443782722564,3000,3000,0.9097491844394511,0.9346740531995223,0.0016908695388668793,0.537,0.5411823066099942,3000,3000,0.9345134194129108,0.9536569029121101,0.002834921891153863,0.5356666666666666,0.5406044535336769,outputs\experiment_rr50k_full_rr1_20260416_163836\fold_03_diagnostics.json
4,46,30000,3000,3000,2024-03-01 23:15:00,2025-09-12 02:30:00,2025-09-12 02:45:00,2025-11-05 12:15:00,2025-11-05 12:30:00,2026-01-02 16:00:00,35,0.9053307871023814,0.0005,0.1,0.1,directional_fallback,outputs\experiment_rr50k_full_rr1_20260416_163836\fold_04_learning_curve.png,outputs\experiment_rr50k_full_rr1_20260416_163836\fold_04_train_val_errors.png,outputs\experiment_rr50k_full_rr1_20260416_163836\fold_04_mf_evolution.png,outputs\experiment_rr50k_full_rr1_20260416_163836\fold_04_mf_params.json,0.5386861791326241,0.6749658713286574,2.610748291015625,2.499622344970703,outputs\experiment_rr50k_full_rr1_20260416_163836\fold_04_model.pt,0.06101687489746254,0.027390828356146812,0.06988807022571564,0.3246742784976959,6,0.5099403578528827,0.3353333333333333,1006,229,1.0116416844615135,50.65502183406113,1.3466728276316426,8.765970774289089,13.234970116785357,0.9854785374495778,5.880667369570361,0.010659099128603996,0.5612933207148758,0.5443200193598798,0.6623340058147601,0.16397660376545534,outputs\experiment_rr50k_full_rr1_20260416_163836\fold_04_trades.csv,outputs\experiment_rr50k_full_rr1_20260416_163836\fold_04_equity.csv,30000,30000,0.9179774433447975,0.9418647106496886,0.004152348463664413,0.5261,0.5271073176821288,3000,3000,0.9303703343228711,0.949869697693432,0.010739169497962164,0.5406666666666666,0.5465326593489953,3000,3000,0.9247111136708651,0.947451256849964,0.002581569478566248,0.5286666666666666,0.5307937368953458,outputs\experiment_rr50k_full_rr1_20260416_163836\fold_04_diagnostics.json
