fold,seed,train_samples,val_samples,test_samples,train_start_time,train_end_time,val_start_time,val_end_time,test_start_time,test_end_time,epochs_ran,best_val_loss,last_lr,directional_threshold,selected_threshold,selected_threshold_source,learning_plot,error_plot,model_path,test_score_target_corr,test_score_mean,test_score_std,test_rule_dominance,test_active_rules_95,thresholded_test_directional_accuracy,thresholded_test_coverage,thresholded_test_activated,test_total_trades,test_profit_factor,test_win_rate,test_total_return,test_max_drawdown,test_sharpe_ratio,test_sortino_ratio,test_calmar_ratio,test_sqn,test_trades_path,test_equity_path,train_n_samples,train_n_directional_samples,train_mae,train_rmse,train_r2,train_directional_accuracy,train_weighted_hit_rate,val_n_samples,val_n_directional_samples,val_mae,val_rmse,val_r2,val_directional_accuracy,val_weighted_hit_rate,test_n_samples,test_n_directional_samples,test_mae,test_rmse,test_r2,test_directional_accuracy,test_weighted_hit_rate,diagnostics_path
1,43,8000,2000,2000,2025-06-11 01:30:00,2025-10-15 16:45:00,2025-10-15 17:00:00,2025-11-17 05:15:00,2025-11-17 05:30:00,2025-12-19 04:30:00,66,0.880574993789196,0.0005,0.03,0.03,directional_fallback,outputs\experiment_iter02_20260416_111608\fold_01_learning_curve.png,outputs\experiment_iter02_20260416_111608\fold_01_train_val_errors.png,outputs\experiment_iter02_20260416_111608\fold_01_model.pt,0.03869551704551493,0.04211397096514702,0.06454336643218994,0.32216906547546387,7,0.49723247232472323,0.542,1084,375,0.9672311035051252,49.333333333333336,-6.075408762387887,19.26829678550944,-0.9632671470226809,-1.1463349644635072,-2.6544344294735525,-0.23800413431244619,outputs\experiment_iter02_20260416_111608\fold_01_trades.csv,outputs\experiment_iter02_20260416_111608\fold_01_equity.csv,8000,8000,0.9236956582328804,0.9320533356699595,0.006357352549445028,0.537375,0.5354780651778873,2000,2000,0.9292925284035811,0.936750758549147,0.005218852172823807,0.552,0.5499584027601834,2000,2000,0.9322998374181415,0.9407385311035275,-0.005879419821649412,0.505,0.5037407112221091,outputs\experiment_iter02_20260416_111608\fold_01_diagnostics.json
2,44,10000,2000,2000,2025-06-11 01:30:00,2025-11-17 05:15:00,2025-11-17 05:30:00,2025-12-19 04:30:00,2025-12-19 04:45:00,2026-01-23 04:45:00,64,0.8837653174996376,0.0005,0.12,0.15,backtest,outputs\experiment_iter02_20260416_111608\fold_02_learning_curve.png,outputs\experiment_iter02_20260416_111608\fold_02_train_val_errors.png,outputs\experiment_iter02_20260416_111608\fold_02_model.pt,-0.04551063191367672,0.012000852264463902,0.08432599157094955,0.532889187335968,2,0.49019607843137253,0.051,102,47,0.8714687579148584,46.808510638297875,-3.1833417902861108,7.84541541978135,-1.7853386290203275,-0.8724018086479616,-3.6521250952132736,-0.43379928328873263,outputs\experiment_iter02_20260416_111608\fold_02_trades.csv,outputs\experiment_iter02_20260416_111608\fold_02_equity.csv,10000,10000,0.9222315493508475,0.9316342033862628,0.00999238524822399,0.5432,0.541974874716221,2000,2000,0.9294435897683215,0.9389248519876877,-0.002004626065123416,0.5205,0.52071672093885,2000,2000,0.9409544123292726,0.9480461808376441,-0.017401253969371977,0.4715,0.4728951574964336,outputs\experiment_iter02_20260416_111608\fold_02_diagnostics.json
3,45,12000,2000,2000,2025-06-11 01:30:00,2025-12-19 04:30:00,2025-12-19 04:45:00,2026-01-23 04:45:00,2026-01-23 05:00:00,2026-02-24 16:45:00,33,0.8960567340254784,0.0005,0.15,0.15,directional_fallback,outputs\experiment_iter02_20260416_111608\fold_03_learning_curve.png,outputs\experiment_iter02_20260416_111608\fold_03_train_val_errors.png,outputs\experiment_iter02_20260416_111608\fold_03_model.pt,-0.01402930448482828,0.006404835730791092,0.08554483205080032,0.5628234148025513,4,0.5363128491620112,0.0895,179,78,1.1474844141448286,53.84615384615385,5.770535806278057,6.2327667087759675,2.9506962890582678,1.672267673909284,14.101692641067224,0.6770032003863301,outputs\experiment_iter02_20260416_111608\fold_03_trades.csv,outputs\experiment_iter02_20260416_111608\fold_03_equity.csv,12000,12000,0.9261578661415685,0.9349443807601688,0.004232361509233007,0.5341666666666667,0.5332095113676084,2000,2000,0.9379329726660217,0.9443877805587765,-0.009564337149560398,0.4735,0.47435146606830564,2000,2000,0.9370180507169426,0.9447124843588978,-0.012799519004811577,0.498,0.4996661357498316,outputs\experiment_iter02_20260416_111608\fold_03_diagnostics.json
4,46,14000,2000,2000,2025-06-11 01:30:00,2026-01-23 04:45:00,2026-01-23 05:00:00,2026-02-24 16:45:00,2026-02-24 17:00:00,2026-03-27 06:00:00,33,0.8941287249326706,0.0005,0.03,0.03,directional_fallback,outputs\experiment_iter02_20260416_111608\fold_04_learning_curve.png,outputs\experiment_iter02_20260416_111608\fold_04_train_val_errors.png,outputs\experiment_iter02_20260416_111608\fold_04_model.pt,0.05660001737286074,-0.0036614451091736555,0.06388303637504578,0.5671600699424744,4,0.561035758323058,0.4055,811,309,1.0523675320594543,51.45631067961165,8.079908625325144,18.568412634983268,2.218983339977931,2.45360188198896,8.253548167465212,0.5295863372855667,outputs\experiment_iter02_20260416_111608\fold_04_trades.csv,outputs\experiment_iter02_20260416_111608\fold_04_equity.csv,14000,14000,0.9288001831777937,0.9359363244985197,0.003274634228191853,0.5162857142857142,0.5145323607899712,2000,2000,0.9367610374555139,0.9430196530814043,-0.009173098001675761,0.5095,0.5088349660518205,2000,2000,0.9331891881623587,0.9395129509779833,-0.0004890082615636171,0.5155,0.5134909787690728,outputs\experiment_iter02_20260416_111608\fold_04_diagnostics.json
