feature_mode,fold,train_samples,val_samples,test_samples,train_start_time,train_end_time,val_start_time,val_end_time,test_start_time,test_end_time,directional_threshold,selected_threshold,selected_threshold_source,val_directional_accuracy,val_coverage,val_score_target_corr,test_directional_accuracy,test_coverage,test_score_target_corr,test_full_score_corr,test_score_mean,test_score_std,val_score_mean,val_score_std,test_rule_dominance,test_active_rules_95,test_total_return,test_annualized_return,test_max_drawdown,test_win_rate,test_profit_factor,test_payoff_ratio,test_expectancy,test_avg_trade_return_pct,test_sharpe_ratio,test_sortino_ratio,test_calmar_ratio,test_sqn,test_total_trades,model_path,training_plot
causal_v3,1,8000,2000,2000,2025-06-04 05:15:00,2025-10-08 21:15:00,2025-10-08 21:30:00,2025-11-10 08:45:00,2025-11-10 09:00:00,2025-12-12 10:15:00,0.05,0.1,backtest,0.4560810810810811,0.148,-0.0838301510407407,0.5295698924731183,0.186,0.08059420622895229,0.04650581999471349,0.04605122283101082,0.07801803201436996,0.03963322564959526,0.07687439769506454,0.3642185628414154,4,0.6081331875026371,7.153268756813813,16.840207681563292,50.28901734104046,1.0016927507803743,0.9901790410012895,0.7808163877039263,0.005780346820809248,0.4684467507072952,0.3682225594712066,0.42477319116706813,0.07580980435789032,173,outputs\walkforward_compare\causal_v3\fold_01_model.pt,outputs\walkforward_compare\causal_v3\fold_01_training_loss.png
causal_v3,2,10000,2000,2000,2025-06-04 05:15:00,2025-11-10 08:45:00,2025-11-10 09:00:00,2025-12-12 10:15:00,2025-12-12 10:30:00,2026-01-16 05:30:00,0.05,0.1,backtest,0.5497630331753555,0.1055,0.06002407947730283,0.5579710144927537,0.069,0.07990574732742912,0.01848636736370241,0.029341891407966614,0.06038672849535942,0.02706347405910492,0.06758520752191544,0.5585771799087524,3,0.8658840966913559,9.473352593133288,6.849375151059185,51.724137931034484,1.0306800018224946,0.9619680017009952,14.929036149851134,0.019780104088163223,0.6270067305334629,0.34522021874163084,1.383097345991967,0.150642121040633,58,outputs\walkforward_compare\causal_v3\fold_02_model.pt,outputs\walkforward_compare\causal_v3\fold_02_training_loss.png
causal_v3,3,12000,2000,2000,2025-06-04 05:15:00,2025-12-12 10:15:00,2025-12-12 10:30:00,2026-01-16 05:30:00,2026-01-16 05:45:00,2026-02-17 21:00:00,0.07,0.05,backtest,0.4811594202898551,0.345,0.03698027815593809,0.5343082114735658,0.4445,0.06084738024722943,0.04005158118755233,0.0016033590072765946,0.061957065016031265,0.01333119347691536,0.05451011285185814,0.4604303240776062,4,6.499191006420631,102.32763701019825,10.519881441100619,51.27388535031847,1.0395923098130384,0.9879355490769869,20.698060530002337,0.02504868585243018,1.872340316281066,2.191736974545865,9.72707131569084,0.4434731739173834,314,outputs\walkforward_compare\causal_v3\fold_03_model.pt,outputs\walkforward_compare\causal_v3\fold_03_training_loss.png
causal_v3,4,14000,2000,2000,2025-06-04 05:15:00,2026-01-16 05:30:00,2026-01-16 05:45:00,2026-02-17 21:00:00,2026-02-17 21:15:00,2026-03-20 13:00:00,0.07,0.07,directional_fallback,0.6007751937984496,0.258,0.09514814396828393,0.5079051383399209,0.253,-0.0011654764751182806,0.01635991175856588,0.0020570848137140274,0.10226824879646301,-0.01590251550078392,0.10411100089550018,0.44325581192970276,4,-9.602497638536486,-69.96474213144666,15.543302214481564,47.94520547945205,0.910943446246355,0.9890243130674712,-43.84702118053263,-0.0410958904109589,-2.6086152536763154,-2.3943869420855455,-4.501279146863728,-0.6072865818385936,219,outputs\walkforward_compare\causal_v3\fold_04_model.pt,outputs\walkforward_compare\causal_v3\fold_04_training_loss.png
