fold,seed,train_samples,val_samples,test_samples,train_start_time,train_end_time,val_start_time,val_end_time,test_start_time,test_end_time,epochs_ran,best_val_loss,last_lr,directional_threshold,selected_threshold,selected_threshold_source,learning_plot,error_plot,mf_plot,mf_params_path,mf_mean_abs_center_shift,mf_mean_abs_sigma_shift,mf_max_abs_center_shift,mf_max_abs_sigma_shift,model_path,test_score_target_corr,test_score_mean,test_score_std,test_rule_dominance,test_active_rules_95,thresholded_test_directional_accuracy,thresholded_test_coverage,thresholded_test_activated,test_total_trades,test_profit_factor,test_win_rate,test_total_return,test_annualized_return,test_max_drawdown,test_payoff_ratio,test_expectancy,test_avg_trade_return_pct,test_sharpe_ratio,test_sortino_ratio,test_calmar_ratio,test_sqn,test_trades_path,test_equity_path,train_n_samples,train_n_directional_samples,train_mae,train_rmse,train_r2,train_directional_accuracy,train_weighted_hit_rate,val_n_samples,val_n_directional_samples,val_mae,val_rmse,val_r2,val_directional_accuracy,val_weighted_hit_rate,test_n_samples,test_n_directional_samples,test_mae,test_rmse,test_r2,test_directional_accuracy,test_weighted_hit_rate,diagnostics_path
1,43,21000,3000,3000,2024-03-01 23:15:00,2025-05-14 17:30:00,2025-05-14 17:45:00,2025-07-16 13:30:00,2025-07-16 14:30:00,2025-09-16 06:00:00,43,0.7592622091372808,0.0005,0.03,0.05,backtest,outputs\experiment_rr50k_full_rr2_20260416_164258\fold_01_learning_curve.png,outputs\experiment_rr50k_full_rr2_20260416_164258\fold_01_train_val_errors.png,outputs\experiment_rr50k_full_rr2_20260416_164258\fold_01_mf_evolution.png,outputs\experiment_rr50k_full_rr2_20260416_164258\fold_01_mf_params.json,0.6841456483710896,0.8248183998194608,3.1644973754882812,2.9775314331054688,outputs\experiment_rr50k_full_rr2_20260416_164258\fold_01_model.pt,0.03660982075237541,0.04100126028060913,0.052986402064561844,0.3356872498989105,5,0.5581039755351682,0.436,1308,254,1.4062138022477713,42.51968503937008,70.9514594279007,2297.538076312124,13.674171968980206,1.9009927326682834,279.3364544405537,0.2213187070560213,8.727701524860695,10.701469843146858,168.0202707355208,2.4834330684027375,outputs\experiment_rr50k_full_rr2_20260416_164258\fold_01_trades.csv,outputs\experiment_rr50k_full_rr2_20260416_164258\fold_01_equity.csv,21000,21000,0.8244013523438861,0.872927219192554,0.005364122097709423,0.536,0.5329642286833163,3000,3000,0.8176017473617491,0.8689260310726789,-0.00555780075365897,0.5353333333333333,0.5271195692949773,3000,3000,0.8162629908104427,0.8664077676424543,-0.007818863704151191,0.57,0.5685176418604613,outputs\experiment_rr50k_full_rr2_20260416_164258\fold_01_diagnostics.json
2,44,24000,3000,3000,2024-03-01 23:15:00,2025-07-16 13:30:00,2025-07-16 14:30:00,2025-09-16 06:00:00,2025-09-16 06:15:00,2025-11-14 02:15:00,28,0.7518312782049179,0.0005,0.03,0.07,backtest,outputs\experiment_rr50k_full_rr2_20260416_164258\fold_02_learning_curve.png,outputs\experiment_rr50k_full_rr2_20260416_164258\fold_02_train_val_errors.png,outputs\experiment_rr50k_full_rr2_20260416_164258\fold_02_mf_evolution.png,outputs\experiment_rr50k_full_rr2_20260416_164258\fold_02_mf_params.json,0.22492080994627692,0.22990477017380975,0.7640457153320312,0.7487430572509766,outputs\experiment_rr50k_full_rr2_20260416_164258\fold_02_model.pt,0.027207824370104935,0.034785203635692596,0.07176879793405533,0.3950416147708893,2,0.5219941348973607,0.22733333333333333,682,185,1.2758232138457932,39.45945945945946,36.67521288757079,595.6507179904964,12.450815769817822,1.9574273965853266,198.2443939868691,0.1792616171394825,6.204897691734518,5.608952105397257,47.84029649160987,1.694583987517981,outputs\experiment_rr50k_full_rr2_20260416_164258\fold_02_trades.csv,outputs\experiment_rr50k_full_rr2_20260416_164258\fold_02_equity.csv,24000,24000,0.824447955636159,0.8736992541873916,0.0011514362030737857,0.5322916666666667,0.5305784227768042,3000,3000,0.8142056935870399,0.8660166395185057,-0.006909136573095553,0.591,0.5877474547385995,3000,3000,0.8654408273525187,0.9023857078698969,-0.0020185871642461883,0.5223333333333333,0.5247026652601239,outputs\experiment_rr50k_full_rr2_20260416_164258\fold_02_diagnostics.json
3,45,27000,3000,3000,2024-03-01 23:15:00,2025-09-16 06:00:00,2025-09-16 06:15:00,2025-11-14 02:15:00,2025-11-14 02:30:00,2026-01-19 07:30:00,35,0.8091506411631902,0.0005,0.05,0.05,directional_fallback,outputs\experiment_rr50k_full_rr2_20260416_164258\fold_03_learning_curve.png,outputs\experiment_rr50k_full_rr2_20260416_164258\fold_03_train_val_errors.png,outputs\experiment_rr50k_full_rr2_20260416_164258\fold_03_mf_evolution.png,outputs\experiment_rr50k_full_rr2_20260416_164258\fold_03_mf_params.json,0.4903363621031696,0.6096744987774979,2.3524093627929688,2.2460174560546875,outputs\experiment_rr50k_full_rr2_20260416_164258\fold_03_model.pt,0.044829331395144834,0.03989453986287117,0.062321312725543976,0.44220170378685,5,0.5484505656665027,0.6776666666666666,2033,265,1.4509887137144875,44.15094339622642,101.57543874511647,4680.617853322269,16.777817298379567,1.8354387147841382,377.9800567296091,0.27241869944146685,10.997666926070858,15.062105032984544,278.9765659073146,3.0903367407712334,outputs\experiment_rr50k_full_rr2_20260416_164258\fold_03_trades.csv,outputs\experiment_rr50k_full_rr2_20260416_164258\fold_03_equity.csv,27000,27000,0.8214137067208573,0.8709316742177867,0.005710483554872692,0.5401481481481482,0.5391813713295786,3000,3000,0.8599976179838947,0.8978595953788997,0.008007890513439087,0.5443333333333333,0.5485264966603308,3000,3000,0.8339698811544416,0.8809278684814807,0.0012629346648450612,0.5453333333333333,0.5457045697433178,outputs\experiment_rr50k_full_rr2_20260416_164258\fold_03_diagnostics.json
4,46,30000,3000,3000,2024-03-01 23:15:00,2025-11-14 02:15:00,2025-11-14 02:30:00,2026-01-19 07:30:00,2026-01-19 07:45:00,2026-03-23 03:00:00,26,0.7785369058450063,0.0005,0.03,0.2,backtest,outputs\experiment_rr50k_full_rr2_20260416_164258\fold_04_learning_curve.png,outputs\experiment_rr50k_full_rr2_20260416_164258\fold_04_train_val_errors.png,outputs\experiment_rr50k_full_rr2_20260416_164258\fold_04_mf_evolution.png,outputs\experiment_rr50k_full_rr2_20260416_164258\fold_04_mf_params.json,0.1441104317253286,0.15505992688915946,0.47704315185546875,0.4429779052734375,outputs\experiment_rr50k_full_rr2_20260416_164258\fold_04_model.pt,0.06686625223521124,0.0191365834325552,0.111407570540905,0.48811081051826477,3,0.5813953488372093,0.11466666666666667,344,88,1.4368921322217048,42.04545454545455,23.121547197676875,235.25322909837377,12.19052355690156,1.9805810471164038,262.74485451905497,0.24679218664802632,5.5512128118477175,3.975204099765218,19.298041466413242,1.6112031431063758,outputs\experiment_rr50k_full_rr2_20260416_164258\fold_04_trades.csv,outputs\experiment_rr50k_full_rr2_20260416_164258\fold_04_equity.csv,30000,30000,0.8266206242938279,0.8775780326100625,-0.002968382261643532,0.5358666666666667,0.5351908400874681,3000,3000,0.8315634089905167,0.8793490835351109,0.004839568236229108,0.5433333333333333,0.5464325055469448,3000,3000,0.8334647873955837,0.8831847678076941,-0.002079841482018674,0.51,0.5046137171093552,outputs\experiment_rr50k_full_rr2_20260416_164258\fold_04_diagnostics.json
