entry_date,exit_date,type,entry_price,exit_price,pnl,return_pct,exit_reason,bars_held
2025-11-17 05:15:00,2025-11-17 09:00:00,SHORT,25194.9,25235.15,-896.8274898441246,-0.8968274898441245,TIME,15
2025-11-17 09:00:00,2025-11-17 09:15:00,LONG,25235.15,25267.32745849151,991.0317251015587,1.0,TARGET,1
2025-11-17 09:15:00,2025-11-17 10:30:00,LONG,25271.4,25304.457640027827,1000.9420423525744,1.0,TARGET,5
2025-11-17 10:30:00,2025-11-17 11:00:00,LONG,25298.9,25268.036465016714,-1010.9514627761001,-1.0,STOP,2
2025-11-17 11:00:00,2025-11-17 11:30:00,LONG,25267.65,25235.208992795022,-1000.8419481483392,-1.0,STOP,2
2025-11-17 11:30:00,2025-11-17 12:15:00,LONG,25237.9,25204.584794807954,-990.8335286668557,-1.0,STOP,3
2025-11-17 16:30:00,2025-11-17 16:45:00,LONG,25109.4,25170.26506254421,980.9251933801872,1.0000000000000002,TARGET,1
2025-11-17 16:45:00,2025-11-17 17:00:00,LONG,25148.4,25084.650299066092,-990.734445313989,-1.0,STOP,1
2025-11-17 17:00:00,2025-11-17 18:00:00,LONG,25075.3,25004.9538491328,-980.827100860849,-1.0,STOP,4
2025-11-17 18:30:00,2025-11-17 19:45:00,LONG,25083.3,25001.650520885858,-971.0188298522406,-1.0,STOP,5
2025-11-17 22:45:00,2025-11-18 03:45:00,SHORT,24836.15,24886.45,-639.7167904013858,-0.6654645165442823,TIME,15
2025-11-18 03:45:00,2025-11-18 04:30:00,LONG,24886.45,24834.236799641218,-954.9114736497042,-1.0,STOP,3
2025-11-18 04:30:00,2025-11-18 05:00:00,LONG,24827.2,24777.03458411507,-945.3623589132073,-1.0,STOP,2
2025-11-18 06:45:00,2025-11-18 08:30:00,LONG,24683.2,24629.302643537216,-935.9087353240753,-1.0,STOP,7
2025-11-18 09:30:00,2025-11-18 10:00:00,LONG,24671.95,24726.84741526214,926.5496479708344,0.9999999999999999,TARGET,2
2025-11-18 10:00:00,2025-11-18 10:30:00,LONG,24700.45,24756.90746520052,935.8151444505429,1.0,TARGET,2
2025-11-18 10:30:00,2025-11-18 13:30:00,LONG,24771.95,24713.854022352618,-945.1732958950483,-1.0,STOP,12
2025-11-18 13:30:00,2025-11-18 14:00:00,SHORT,24725.7,24674.39206555881,935.7215629360979,1.0,TARGET,2
2025-11-18 14:00:00,2025-11-18 14:15:00,SHORT,24660.7,24714.57393326817,-945.078778565459,-1.0,STOP,1
2025-11-18 14:15:00,2025-11-18 14:45:00,SHORT,24676.2,24622.08491910813,935.6279907798045,1.0,TARGET,2
2025-11-18 14:45:00,2025-11-18 15:00:00,SHORT,24648.2,24702.738003422073,-944.9842706876024,-1.0,STOP,1
2025-11-18 15:00:00,2025-11-18 16:30:00,SHORT,24701.95,24757.181717463354,-935.5344279807264,-1.0,STOP,6
2025-11-18 17:15:00,2025-11-18 17:30:00,SHORT,24496.95,24411.244496922205,926.179083700919,1.0,TARGET,1
2025-11-18 18:00:00,2025-11-18 18:15:00,SHORT,24480.95,24577.584981873875,-935.4408745379282,-1.0,STOP,1
2025-11-18 18:15:00,2025-11-18 19:15:00,SHORT,24597.45,24495.217516831402,926.0864657925489,1.0,TARGET,4
2025-11-18 19:15:00,2025-11-18 19:30:00,SHORT,24485.2,24584.05538452151,-935.3473304504745,-1.0,STOP,1
2025-11-18 19:30:00,2025-11-18 23:30:00,LONG,24668.95,24560.227142944314,-925.9938571459697,-1.0,STOP,13
2025-11-18 23:30:00,2025-11-19 01:15:00,SHORT,24491.2,24577.168656504513,-916.7339185745101,-1.0,STOP,3
2025-11-19 01:15:00,2025-11-19 02:00:00,SHORT,24573.05,24494.335937193726,907.566579388765,1.0,TARGET,3
2025-11-19 02:00:00,2025-11-19 03:15:00,SHORT,24493.8,24565.74598979059,-916.6422451826526,-1.0,STOP,5
2025-11-19 03:15:00,2025-11-19 03:45:00,SHORT,24548.8,24479.83839334556,907.475822730826,1.0,TARGET,2
2025-11-19 04:00:00,2025-11-19 05:45:00,SHORT,24566.05,24497.47560137762,916.5505809581342,1.0,TARGET,7
2025-11-19 05:45:00,2025-11-19 07:30:00,SHORT,24495.8,24440.545356394556,925.7160867677155,0.9999999999999999,TARGET,7
